"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2001";"2002";"2003";"2004";"2005";"2006" 
"06 Udenrigsministeriet "; -60,0; -44,0; -80,0; -55,0; -55,0; -55,0
"061 Udenrigstjenesten m.v. "; -60,0; -44,0; -80,0; -55,0; -55,0; -55,0
"0611 Udenrigstjenesten "; -60,0; -44,0; -80,0; -55,0; -55,0; -55,0
"061106 Renteindtægt af diverse tilgodehavender "; -60,0; -44,0; -80,0; -55,0; -55,0; -55,0
"06110610 Renteindtægt af diverse tilgodehavender "; -60,0; -44,0; -80,0; -55,0; -55,0; -55,0
"07 Finansministeriet "; -1396,2; -534,6; -1825,8; -525,8; -525,8; -525,8
"071 Offentlig økonomi "; -1396,2; -534,6; -1825,8; -525,8; -525,8; -525,8
"0711 Centralstyrelsen "; 0,0; 0,0; -1300,0; 0,0; 0,0; 0,0
"071127 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -1300,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; 0,0; 0,0; -1300,0; 0,0; 0,0; 0,0
"0712 Økonomisystemer og økonomiforvaltning "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"071202 Statens og Komm. Indkøbsservice A/S. Aktieudb "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"07120210 Aktieudbytte "; -0,7; 0,0; 0,0; 0,0; 0,0; 0,0
"0715 Statslige selskaber "; -1395,6; -534,6; -525,8; -525,8; -525,8; -525,8
"071501 Udbytte m.v. fra statslige selskaber "; -1395,6; -534,6; -525,8; -525,8; -525,8; -525,8
"07150110 Udbytte m.v. "; -1395,6; -534,6; -525,8; -525,8; -525,8; -525,8
"08 Økonomi- og Erhvervsministeriet "; -3363,6; -3002,0; -3372,1; -3597,1; -3427,1; -3227,1
"081 Fællesudgifter "; -0,6; -0,1; -0,1; -0,1; -0,1; -0,1
"0811 Centralstyrelsen "; -0,6; -0,1; -0,1; -0,1; -0,1; -0,1
"081102 Renter "; -0,6; -0,1; -0,1; -0,1; -0,1; -0,1
"08110210 Renter "; -0,6; -0,1; -0,1; -0,1; -0,1; -0,1
"086 Energi "; -3360,9; -2999,9; -3370,0; -3595,0; -3425,0; -3225,0
"0863 Efterforskning og indvinding af energi m.m. "; -3360,9; -2999,9; -3370,0; -3595,0; -3425,0; -3225,0
"086301 Koncessionsafgifter m.v. "; -2242,5; -2065,0; -2110,0; -2265,0; -2150,0; -2110,0
"08630110 Koncessionsafgifter m.v. "; -2242,5; -2065,0; -2110,0; -2265,0; -2150,0; -2110,0
"086302 Olierørledningsafgift m.v. "; -1113,6; -930,0; -1255,0; -1325,0; -1270,0; -1110,0
"08630210 Olierørledningsafgift "; -881,8; -765,0; -1040,0; -980,0; -955,0; -845,0
"08630220 Dispensationsafgift "; -231,8; -165,0; -215,0; -345,0; -315,0; -265,0
"086303 Gebyrindtægter i forbindelse med udbudsrunder "; -0,2; -0,3; -0,3; -0,3; -0,3; -0,3
"08630310 Gebyrindtægter i forbindelse med udbudsrunder"; -0,2; -0,3; -0,3; -0,3; -0,3; -0,3
"086310 Koncessionsafgift fra Dansk Salt A/S "; -4,5; -4,6; -4,7; -4,7; -4,7; -4,7
"08631010 Koncessionsafgift fra Dansk Salt A/S "; -4,5; -4,6; -4,7; -4,7; -4,7; -4,7
"087 Søfart "; -2,1; -2,0; -2,0; -2,0; -2,0; -2,0
"0871 Fællesudgifter "; -2,1; -2,0; -2,0; -2,0; -2,0; -2,0
"087103 Registreringsafgift for fritidsfartøjer "; -2,1; -2,0; -2,0; -2,0; -2,0; -2,0
"08710310 Registreringsafgift for fritidsfartøjer "; -2,1; -2,0; -2,0; -2,0; -2,0; -2,0
"09 Skatteministeriet "; -117,3; -122,9; -125,4; -120,9; -120,9; -120,9
"091 Fællesudgifter "; -18,8; -18,7; -24,4; -19,9; -19,9; -19,9
"0911 Centralstyrelsen "; -18,8; -18,7; -24,4; -19,9; -19,9; -19,9
"091121 Klagegebyr "; -1,3; -1,5; -1,5; -1,5; -1,5; -1,5
"09112110 Klagegebyr "; -1,3; -1,5; -1,5; -1,5; -1,5; -1,5
"091141 Det Danske Klasselotteri A/S "; -17,5; -17,2; -22,9; -18,4; -18,4; -18,4
"09114110 Betaling for ret til at drive klasselotteri "; -17,5; -17,2; -22,9; -18,4; -18,4; -18,4
"092 Forvaltning "; -98,5; -104,2; -101,0; -101,0; -101,0; -101,0
"0921 Skatte- og afgiftsforvaltning "; -98,5; -104,2; -101,0; -101,0; -101,0; -101,0
"092103 Gebyrer, retsafgifter m.v. "; -98,5; -104,2; -101,0; -101,0; -101,0; -101,0
"09210310 Bøder, konfiskation, gebyrer "; -78,6; -75,0; -75,0; -75,0; -75,0; -75,0
"09210320 Gebyrer og formålsbestemte afgifter "; -16,9; -20,2; -17,0; -17,0; -17,0; -17,0
"09210330 Gebyr af spilleautomater "; -3,0; -9,0; -9,0; -9,0; -9,0; -9,0
"11 Justitsministeriet "; -2373,6; -2627,1; -2799,8; -2799,8; -2799,8; -2799,8
"112 Politivæsenet "; -1700,0; -1924,8; -2094,8; -2094,8; -2094,8; -2094,8
"1123 Politi "; -1700,0; -1924,8; -2094,8; -2094,8; -2094,8; -2094,8
"112302 Bøder, park.afg., salg af pas, køreprøv. m.v. "; -1636,5; -1864,5; -2034,5; -2034,5; -2034,5; -2034,5
"11230210 Bøder, konfiskationer og gebyrer "; -1636,5; -1864,5; -2034,5; -2034,5; -2034,5; -2034,5
"112307 Kommunal parkeringskontrol "; -63,5; -60,3; -60,3; -60,3; -60,3; -60,3
"11230710 Parkeringskontrol "; -63,5; -60,3; -60,3; -60,3; -60,3; -60,3
"114 Retsvæsenet "; -673,6; -702,3; -705,0; -705,0; -705,0; -705,0
"1143 Sagsindtægter "; -673,6; -702,3; -705,0; -705,0; -705,0; -705,0
"114301 Retsafgifter m.v. "; -464,1; -509,4; -495,0; -495,0; -495,0; -495,0
"11430110 Retsafgifter m.v. "; -464,1; -509,4; -495,0; -495,0; -495,0; -495,0
"114302 Indtægter ved EDB i tinglysningen "; -209,5; -192,9; -210,0; -210,0; -210,0; -210,0
"11430250 EDB i tinglysningen "; -209,5; -192,9; -210,0; -210,0; -210,0; -210,0
"12 Forsvarsministeriet "; -22,0; -22,3; -25,7; -25,7; -25,7; -25,7
"122 Militært forsvar "; -22,0; -22,3; -25,7; -25,7; -25,7; -25,7
"1221 Forsvarskommandoen og Hjemmeværnet "; -22,0; -22,3; -25,7; -25,7; -25,7; -25,7
"122109 Isafgifter fra skibe og havne "; -22,0; -22,3; -25,7; -25,7; -25,7; -25,7
"12210910 Isafgifter fra skibe og havne "; -22,0; -22,3; -25,7; -25,7; -25,7; -25,7
"122110 Administrative bøder "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"12211010 Administrative bøder "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"15 Socialministeriet "; -33,7; -26,3; -32,0; -32,0; -32,0; -32,0
