"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2002";"2003";"2004";"2005";"2006";"2007" 
"06 Udenrigsministeriet "; -166,8; -55,0; -1457,2; -56,2; -56,2; -56,2
"061 Udenrigstjenesten m.v. "; -166,8; -55,0; -1457,2; -56,2; -56,2; -56,2
"0611 Udenrigstjenesten "; -166,8; -55,0; -1457,2; -56,2; -56,2; -56,2
"061106 Renteindtægt af diverse tilgodehavender "; -166,8; -55,0; -57,2; -56,2; -56,2; -56,2
"06110610 Renteindtægt af diverse tilgodehavender "; -166,8; -55,0; -57,2; -56,2; -56,2; -56,2
"061121 Udlodninger fra IØ og IFU "; 0,0; 0,0; -1400,0; 0,0; 0,0; 0,0
"06112110 Udlodninger fra IØ og IFU "; 0,0; 0,0; -1400,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; -1232,8; -825,8; -2415,3; -658,2; -658,2; -658,2
"071 Offentlig økonomi "; -1232,8; -825,8; -2415,3; -658,2; -658,2; -658,2
"0711 Centralstyrelsen "; -650,0; -300,0; -520,0; 0,0; 0,0; 0,0
"071127 Overførsel fra Hypotekbankens reserver "; -650,0; -300,0; -520,0; 0,0; 0,0; 0,0
"07112710 Overførsel fra Hypotekbankens reserver "; -650,0; -300,0; -520,0; 0,0; 0,0; 0,0
"0715 Statslige selskaber "; -582,8; -525,8; -1895,3; -658,2; -658,2; -658,2
"071501 Udbytte m.v. fra statslige selskaber "; -582,8; -525,8; -1788,7; -658,2; -658,2; -658,2
"07150110 Udbytte m.v. "; -582,8; -525,8; -1788,7; -658,2; -658,2; -658,2
"071502 Salgsindtægter "; 0,0; 0,0; -106,6; 0,0; 0,0; 0,0
"07150230 Orange Holding A/S "; 0,0; 0,0; -106,6; 0,0; 0,0; 0,0
"08 Økonomi- og Erhvervsministeriet "; -3255,4; -3372,1; -7225,9; -5387,9; -5154,9; -5069,9
"081 Fællesudgifter "; -1,6; -0,1; -0,5; -0,5; -0,5; -0,5
"0811 Centralstyrelsen "; -1,6; -0,1; -0,5; -0,5; -0,5; -0,5
"081102 Renter "; -1,6; -0,1; -0,5; -0,5; -0,5; -0,5
