"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2016";"2017";"2018";"2019";"2020";"2021" 
"06 Udenrigsministeriet "; -79,3; -135,0; -114,0; -154,0; -89,0; -54,0
"061 Udenrigstjenesten mv. "; -79,3; -135,0; -114,0; -154,0; -89,0; -54,0
"0611 Udenrigstjenesten mv. "; -79,3; -135,0; -114,0; -154,0; -89,0; -54,0
"061106 Renteindtægt af diverse tilgodehavender "; -4,3; -10,0; -4,0; -4,0; -4,0; -4,0
"06110610 Renteindtægt af diverse tilgodehavender "; -4,3; -10,0; -4,0; -4,0; -4,0; -4,0
"061121 Udlodninger fra IØ og IFU "; -75,0; -125,0; -110,0; -150,0; -85,0; -50,0
"06112110 Udlodninger fra IØ "; -75,0; -75,0; -60,0; -100,0; -35,0; 0,0
"06112120 Udbytte fra IFU "; 0,0; -50,0; -50,0; -50,0; -50,0; -50,0
"07 Finansministeriet "; -9647,1; -2645,8; -2497,4; -2514,2; -2516,6; -2516,6
"071 Offentlig økonomi "; -9647,1; -2645,8; -2497,4; -2514,2; -2516,6; -2516,6
"0715 Statslige selskaber "; -9647,1; -2645,8; -2497,4; -2514,2; -2516,6; -2516,6
"071501 Udbytte fra statslige selskaber "; -1446,3; -2612,8; -2463,4; -2480,2; -2482,6; -2482,6
"07150110 Udbytte mv. "; -1446,3; -2612,8; -2463,4; -2480,2; -2482,6; -2482,6
"071502 Salgsindtægter "; -8167,5; 0,0; 0,0; 0,0; 0,0; 0,0
"07150250 Rådgivning i forbindelse med salg af statens "; -8167,5; 0,0; 0,0; 0,0; 0,0; 0,0
"071505 Indt. fra Danske Spils overskud i Grønland "; -33,2; -33,0; -34,0; -34,0; -34,0; -34,0
"07150510 Indt. fra Danske Spils overskud fra Grønland "; -33,2; -33,0; -34,0; -34,0; -34,0; -34,0
"08 Erhvervsministeriet "; 0,5; -1,0; -340,1; -340,1; -840,1; -200,1
"083 Erhvervsfremme "; 0,0; 0,0; -340,0; -340,0; -840,0; -200,0
"0833 Vækstfinansiering "; 0,0; 0,0; -340,0; -340,0; -840,0; -200,0
"083326 Udbytte VF og EKF "; 0,0; 0,0; -340,0; -340,0; -840,0; -200,0
"08332610 Udbytte fra Vækstfonden "; 0,0; 0,0; -200,0; -200,0; -200,0; -100,0
