"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2021";"2022";"2023";"2024";"2025";"2026" 
"01 Dronningen "; 87,2; 87,8; 91,4; 91,4; 91,4; 91,4
"011 Statsydelse "; 87,2; 87,8; 91,4; 91,4; 91,4; 91,4
"0111 Statsydelse "; 87,2; 87,8; 91,4; 91,4; 91,4; 91,4
"011101 Statsydelse "; 87,2; 87,8; 91,4; 91,4; 91,4; 91,4
"01110110 Almindelig virksomhed "; 87,2; 87,8; 91,4; 91,4; 91,4; 91,4
"02 Medlemmer af det kongelige hus m.fl. "; 27,1; 27,3; 28,1; 30,8; 30,8; 30,8
"021 Årpenge mv. "; 27,1; 27,3; 28,1; 30,8; 30,8; 30,8
"0211 Årpenge mv. "; 27,1; 27,3; 28,1; 30,8; 30,8; 30,8
"021101 Årpenge mv. "; 27,1; 27,3; 28,1; 30,8; 30,8; 30,8
"02110110 Almindelig virksomhed "; 27,1; 27,3; 28,1; 30,8; 30,8; 30,8
"03 Folketinget "; 1263,0; 1266,2; 1333,6; 1324,8; 1324,8; 1324,8
"031 Udgifter ved Folketinget "; 855,4; 842,2; 882,2; 871,5; 871,5; 871,5
"0311 Folketinget "; 855,4; 842,2; 882,2; 871,5; 871,5; 871,5
"031101 Folketinget "; 484,1; 480,0; 509,1; 498,4; 498,4; 498,4
"03110110 Almindelig virksomhed "; 466,6; 448,3; 470,3; 465,3; 465,3; 465,3
"03110130 Udvalgsarbejde "; 6,0; 14,7; 15,3; 15,4; 15,4; 15,4
"03110140 Interparlamentariske forsamlinger "; 11,5; 17,0; 23,5; 17,7; 17,7; 17,7
"031103 Folketingets medlemmer "; 367,6; 358,3; 369,0; 369,0; 369,0; 369,0
"03110310 Folketingsvederlag og boliggodtgørelse "; 160,7; 147,7; 152,7; 152,7; 152,7; 152,7
"03110320 Befordringsudgifter "; 7,7; 9,8; 10,1; 10,1; 10,1; 10,1
"03110330 Folketingsgruppestøtte "; 199,3; 200,8; 206,2; 206,2; 206,2; 206,2
"031104 Fhv folketingsmedlemmers efterudd "; 0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"03110410 Efteruddannelse "; 0,8; 0,0; 0,0; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 2,8; 3,9; 4,1; 4,1; 4,1; 4,1
"03110610 Drift af medlemsboliger "; 2,8; 3,9; 4,1; 4,1; 4,1; 4,1
"032 Folketingets Ombudsmand "; 91,2; 95,3; 107,7; 109,6; 109,6; 109,6
"0321 Folketingets Ombudsmand "; 91,2; 95,3; 107,7; 109,6; 109,6; 109,6
"032101 Folketingets Ombudsmand "; 91,2; 95,3; 107,7; 109,6; 109,6; 109,6
"03210110 Almindelig virksomhed "; 90,9; 94,4; 106,8; 108,7; 108,7; 108,7
"03210197 Andre tilskudsfinansierede aktiviteter "; 0,3; 0,9; 0,9; 0,9; 0,9; 0,9
"033 Statsrevisorerne og Rigsrevisionen "; 221,3; 233,2; 241,1; 241,1; 241,1; 241,1
"0331 Statsrevisorerne og Rigsrevisionen "; 221,3; 233,2; 241,1; 241,1; 241,1; 241,1
"033101 Statsrevisorerne "; 5,5; 5,5; 5,8; 5,8; 5,8; 5,8
"03310110 Almindelig virksomhed "; 5,5; 5,5; 5,8; 5,8; 5,8; 5,8
"033111 Rigsrevisionen "; 215,8; 227,7; 235,3; 235,3; 235,3; 235,3
"03311110 Almindelig virksomhed "; 215,8; 227,7; 235,3; 235,3; 235,3; 235,3
"034 Folketingets pensioner "; 95,1; 95,5; 102,6; 102,6; 102,6; 102,6
"0341 Folketingets pensioner "; 95,1; 95,5; 102,6; 102,6; 102,6; 102,6
"034101 Folketingets pensioner "; 95,1; 95,5; 102,6; 102,6; 102,6; 102,6
"03410110 Folketingets medlemspensioner "; 60,4; 60,7; 65,6; 65,6; 65,6; 65,6
"03410130 Folketingets Administrations pensioner "; 20,4; 20,6; 22,4; 22,4; 22,4; 22,4
"03410140 Folketingets Ombudsmands pensioner "; 2,5; 2,3; 2,4; 2,4; 2,4; 2,4
"03410150 Statsrevisorernes pensioner "; 1,3; 1,4; 1,5; 1,5; 1,5; 1,5
"03410160 Rigsrevisionens pensioner "; 10,5; 10,5; 10,7; 10,7; 10,7; 10,7
"05 Statsministeriet "; 135,4; 147,2; 151,7; 151,0; 150,3; 149,6
"051 Fællesudgifter "; 135,4; 147,2; 151,7; 151,0; 150,3; 149,6
"0511 Centralstyrelsen "; 115,2; 126,0; 129,6; 129,1; 128,6; 128,1
"051101 Departementet "; 115,2; 126,0; 129,6; 129,1; 128,6; 128,1
"05110110 Almindelig virksomhed "; 114,7; 126,0; 129,6; 129,1; 128,6; 128,1
"05110120 Tilskud "; 0,5; 0,0; 0,0; 0,0; 0,0; 0,0
"0512 Grønland og Færøerne "; 20,2; 21,2; 22,1; 21,9; 21,7; 21,5
"051203 Rigsombudsmanden i Grønland "; 10,9; 12,4; 12,9; 12,8; 12,7; 12,6
"05120310 Almindelig virksomhed "; 10,9; 12,4; 12,9; 12,8; 12,7; 12,6
"051251 Rigsombudsmanden på Færøerne "; 9,2; 8,8; 9,2; 9,1; 9,0; 8,9
"05125110 Almindelig virksomhed "; 9,2; 8,8; 9,2; 9,1; 9,0; 8,9
"06 Udenrigsministeriet "; 17819,6; 18155,3; 17794,3; 18661,8; 18808,7; 18856,9
"061 Udenrigstjenesten mv. "; 2861,3; 2885,7; 3007,3; 2638,2; 2560,0; 2519,1
"0611 Udenrigstjenesten mv. "; 2861,3; 2885,7; 3007,3; 2638,2; 2560,0; 2519,1
"061101 Udenrigstjenesten "; 2670,3; 2701,3; 2750,4; 2410,8; 2332,4; 2292,4
"06110110 Generel udenrigspolitik "; 846,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06110111 Almindelig virksomhed "; 0,0; 960,1; 996,2; 860,9; 836,7; 821,4
"06110112 Repræsentationer i Europa "; 0,0; 522,4; 592,0; 517,5; 513,4; 504,3
"06110113 Rep. i Nordamerika og Latinamerika "; 0,0; 253,4; 265,7; 221,2; 219,6; 216,1
"06110114 Repræsentationer i Afrika "; 0,0; 265,4; 306,3; 297,1; 298,9; 293,6
"06110115 Repræsentationer i Asien og Oceanien "; 0,0; 537,7; 558,2; 481,6; 459,8; 453,0
"06110120 Udviklingssamarbejde "; 850,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06110130 Eksport- og investeringsfremme mv. "; 572,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06110140 Borgerservice "; 267,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06110197 Andre tilskudsfinansierede aktiviteter "; 133,1; 162,3; 32,0; 32,5; 4,0; 4,0
"061113 Institut for Menneskerettigheder "; 42,3; 42,7; 44,3; 43,9; 40,1; 38,8
"06111310 Institut for Menneskerettigheder "; 42,3; 42,7; 44,3; 43,9; 40,1; 38,8
"061114 Dansk Institut for Internationale Studier "; 25,3; 25,5; 32,4; 26,3; 24,0; 23,5
"06111410 Dansk Institut for Internationale Studier "; 25,3; 25,5; 32,4; 26,3; 24,0; 23,5
"061115 Ikke-lovbundne tilskud "; 31,7; 30,8; 33,4; 19,1; 19,1; 19,1
"06111510 Tilskud til oplysningsarbejde mv. "; 6,3; 5,3; 4,7; 4,7; 4,7; 4,7
"06111520 Tilskud til internationale institutioner "; 12,4; 11,9; 12,3; 12,3; 12,3; 12,3
"06111530 Int. presseindsatser "; 2,1; 2,1; 2,1; 2,1; 2,1; 2,1
"06111540 Freds- og Stabiliseringsfonden "; 10,7; 11,5; 14,3; 0,0; 0,0; 0,0
