"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2014";"2015";"2016";"2017";"2018";"2019" 
"01 Dronningen "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
"011 Statsydelse "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
"0111 Statsydelse "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
"011101 Statsydelse "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
"01110110 Almindelig virksomhed "; 77,7; 79,0; 79,5; 79,5; 79,5; 79,5
"02 Medlemmer af det kongelige hus m.fl. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
"021 Årpenge mv. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
"0211 Årpenge mv. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
"021101 Årpenge mv. "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
"02110110 Almindelig virksomhed "; 26,4; 26,8; 27,0; 27,0; 27,0; 27,0
"03 Folketinget "; 1018,3; 1040,5; 1039,9; 1039,4; 1039,1; 1039,1
"031 Udgifter ved Folketinget "; 662,6; 677,5; 674,5; 674,3; 674,0; 674,0
"0311 Folketinget "; 662,6; 677,5; 674,5; 674,3; 674,0; 674,0
"031101 Folketinget "; 389,7; 407,6; 406,8; 406,6; 406,3; 406,3
"03110110 Almindelig virksomhed "; 366,2; 374,9; 374,2; 374,3; 374,0; 374,0
"03110130 Udvalgsarbejde "; 11,2; 16,9; 16,3; 16,3; 16,3; 16,3
"03110140 Interparlamentariske forsamlinger "; 12,4; 15,8; 16,3; 16,0; 16,0; 16,0
"031103 Folketingets medlemmer "; 264,2; 266,5; 264,0; 264,0; 264,0; 264,0
"03110310 Folketingsvederlag og boliggodtgørelse "; 131,0; 131,8; 130,5; 130,5; 130,5; 130,5
"03110320 Befordringsudgifter "; 12,1; 12,2; 11,4; 11,4; 11,4; 11,4
"03110330 Folketingsgruppestøtte "; 121,2; 122,5; 122,1; 122,1; 122,1; 122,1
"031105 Erhvervelse af medlemsboliger "; 6,5; 0,0; 0,0; 0,0; 0,0; 0,0
