"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2006";"2007";"2008";"2009";"2010";"2011" 
"01 Dronningen "; 62,8; 64,3; 66,4; 65,9; 65,9; 65,9
"011 Statsydelse "; 62,8; 64,3; 66,4; 65,9; 65,9; 65,9
"0111 Statsydelse "; 62,8; 64,3; 66,4; 65,9; 65,9; 65,9
"011101 Statsydelse "; 62,8; 64,3; 66,4; 65,9; 65,9; 65,9
"01110110 Almindelig virksomhed "; 62,8; 64,3; 66,4; 65,9; 65,9; 65,9
"02 Medlemmer af det kongelige hus m.fl. "; 20,6; 21,1; 22,4; 21,7; 21,7; 21,7
"021 Årpenge mv. "; 20,6; 21,1; 22,4; 21,7; 21,7; 21,7
"0211 Årpenge mv. "; 20,6; 21,1; 22,4; 21,7; 21,7; 21,7
"021101 Årpenge mv. "; 20,6; 21,1; 22,4; 21,7; 21,7; 21,7
"02110110 Almindelig virksomhed "; 20,6; 21,1; 22,4; 21,7; 21,7; 21,7
"03 Folketinget "; 829,6; 858,8; 936,4; 876,7; 874,6; 874,8
"031 Udgifter ved Folketinget "; 548,1; 567,9; 627,3; 575,2; 573,1; 573,3
"0311 Folketinget "; 548,1; 567,9; 627,3; 575,2; 573,1; 573,3
"031101 Folketinget "; 307,4; 329,0; 344,7; 333,2; 331,1; 331,3
"03110110 Almindelig virksomhed "; 276,3; 299,3; 312,3; 303,3; 301,0; 301,3
"03110130 Udvalgsarbejde "; 19,3; 15,6; 18,3; 15,8; 16,0; 15,9
"03110140 Interparlamentariske forsamlinger "; 11,8; 14,1; 14,1; 14,1; 14,1; 14,1
"031103 Folketingets medlemmer "; 240,7; 238,9; 282,6; 242,0; 242,0; 242,0
"03110310 Folketingsvederlag og boliggodtgørelse "; 128,9; 121,5; 155,6; 122,6; 122,6; 122,6
"03110320 Befordringsudgifter "; 10,8; 13,2; 12,5; 12,5; 12,5; 12,5
"03110330 Folketingsgruppestøtte "; 101,0; 104,2; 114,5; 106,9; 106,9; 106,9
"032 Folketingets Ombudsmand "; 47,5; 47,5; 50,6; 49,9; 49,9; 49,9
"0321 Folketingets Ombudsmand "; 47,5; 47,5; 50,6; 49,9; 49,9; 49,9
"032101 Folketingets Ombudsmand "; 47,5; 47,5; 50,6; 49,9; 49,9; 49,9
"03210110 Almindelig virksomhed "; 47,5; 47,5; 50,6; 49,9; 49,9; 49,9
"033 Statsrevisoratet og Rigsrevisionen "; 175,0; 183,6; 188,9; 187,9; 187,9; 187,9
"0331 Statsrevisoratet og Rigsrevisionen "; 175,0; 183,6; 188,9; 187,9; 187,9; 187,9
"033101 Statsrevisoratet "; 4,6; 4,7; 4,8; 4,8; 4,8; 4,8
"03310110 Almindelig virksomhed "; 4,6; 4,7; 4,8; 4,8; 4,8; 4,8
"033111 Rigsrevisionen "; 170,4; 178,9; 184,1; 183,1; 183,1; 183,1
"03311110 Almindelig virksomhed "; 170,4; 178,9; 184,1; 183,1; 183,1; 183,1
"034 Folketingets pensioner "; 59,0; 59,8; 69,6; 63,7; 63,7; 63,7
"0341 Folketingets pensioner "; 59,0; 59,8; 69,6; 63,7; 63,7; 63,7
"034101 Folketingets pensioner "; 59,0; 59,8; 69,6; 63,7; 63,7; 63,7
"03410110 Folketingets medlemspensioner "; 36,4; 37,4; 45,2; 39,9; 39,9; 39,9
"03410130 Folketingets administrations pensioner "; 14,4; 14,7; 15,1; 15,0; 15,0; 15,0
"03410140 Folketingets Ombudsmands pensioner "; 0,8; 0,8; 1,0; 0,8; 0,8; 0,8
"03410150 Statsrevisorernes pensioner "; 1,2; 1,4; 1,3; 1,3; 1,3; 1,3
"03410160 Rigsrevisionens pensioner "; 6,2; 5,5; 7,0; 6,7; 6,7; 6,7
"05 Statsministeriet "; 107,2; 116,2; 125,6; 120,4; 109,2; 107,2
"051 Fællesudgifter "; 107,2; 116,2; 125,6; 120,4; 109,2; 107,2
"0511 Centralstyrelsen "; 90,3; 96,2; 103,4; 99,6; 87,5; 85,5
"051101 Departementet "; 76,8; 83,0; 88,4; 85,4; 74,4; 72,4
"05110110 Almindelig virksomhed "; 76,8; 83,0; 88,4; 85,4; 74,4; 72,4
