"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2010";"2011";"2012";"2013";"2014";"2015" 
"01 Dronningen "; 73,7; 71,1; 71,8; 71,8; 71,8; 71,8
"011 Statsydelse "; 73,7; 71,1; 71,8; 71,8; 71,8; 71,8
"0111 Statsydelse "; 73,7; 71,1; 71,8; 71,8; 71,8; 71,8
"011101 Statsydelse "; 73,7; 71,1; 71,8; 71,8; 71,8; 71,8
"01110110 Almindelig virksomhed "; 73,7; 71,1; 71,8; 71,8; 71,8; 71,8
"02 Medlemmer af det kongelige hus m.fl. "; 25,0; 24,3; 24,6; 24,6; 24,6; 24,6
"021 Årpenge mv. "; 25,0; 24,3; 24,6; 24,6; 24,6; 24,6
"0211 Årpenge mv. "; 25,0; 24,3; 24,6; 24,6; 24,6; 24,6
"021101 Årpenge mv. "; 25,0; 24,3; 24,6; 24,6; 24,6; 24,6
"02110110 Almindelig virksomhed "; 25,0; 24,3; 24,6; 24,6; 24,6; 24,6
"03 Folketinget "; 1003,0; 988,7; 1035,7; 1000,8; 1000,3; 1000,3
"031 Udgifter ved Folketinget "; 681,3; 650,2; 685,7; 655,4; 654,9; 654,9
"0311 Folketinget "; 681,3; 650,2; 685,7; 655,4; 654,9; 654,9
"031101 Folketinget "; 385,4; 390,6; 387,5; 392,1; 391,6; 391,6
"03110110 Almindelig virksomhed "; 363,0; 358,5; 359,8; 360,9; 360,9; 360,9
"03110130 Udvalgsarbejde "; 9,6; 15,6; 14,2; 15,5; 15,5; 15,5
"03110140 Interparlamentariske forsamlinger "; 12,7; 16,5; 13,5; 15,7; 15,2; 15,2
"031103 Folketingets medlemmer "; 257,8; 257,6; 295,8; 260,9; 260,9; 260,9
"03110310 Folketingsvederlag og boliggodtgørelse "; 128,5; 129,1; 161,5; 130,9; 130,9; 130,9
"03110320 Befordringsudgifter "; 10,3; 10,5; 10,8; 10,8; 10,8; 10,8
"03110330 Folketingsgruppestøtte "; 119,1; 118,0; 123,5; 119,2; 119,2; 119,2
"031105 Erhvervelse af medlemsboliger "; 37,9; 0,0; 0,0; 0,0; 0,0; 0,0
"03110510 Erhvervelse og ombygning af medlemsboliger "; 37,9; 0,0; 0,0; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 0,3; 2,0; 2,4; 2,4; 2,4; 2,4
"03110610 Drift af medlemsboliger "; 0,3; 2,0; 2,4; 2,4; 2,4; 2,4
"032 Folketingets Ombudsmand "; 54,2; 57,8; 63,5; 58,5; 58,5; 58,5
"0321 Folketingets Ombudsmand "; 54,2; 57,8; 63,5; 58,5; 58,5; 58,5
"032101 Folketingets Ombudsmand "; 54,2; 57,8; 63,5; 58,5; 58,5; 58,5
"03210110 Almindelig virksomhed "; 54,2; 57,8; 63,5; 58,5; 58,5; 58,5
"033 Statsrevisorerne og Rigsrevisionen "; 193,7; 207,6; 209,0; 209,0; 209,0; 209,0
"0331 Statsrevisorerne og Rigsrevisionen "; 193,7; 207,6; 209,0; 209,0; 209,0; 209,0
