"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2004";"2005";"2006";"2007";"2008";"2009" 
"01 Dronningen "; 59,3; 61,4; 62,4; 62,4; 62,4; 62,4
"011 Statsydelse "; 59,3; 61,4; 62,4; 62,4; 62,4; 62,4
"0111 Statsydelse "; 59,3; 61,4; 62,4; 62,4; 62,4; 62,4
"011101 Statsydelse "; 59,3; 61,4; 62,4; 62,4; 62,4; 62,4
"01110110 Almindelig virksomhed "; 59,3; 61,4; 62,4; 62,4; 62,4; 62,4
"02 Medlemmer af det kongelige hus "; 14,9; 18,8; 20,4; 20,4; 20,4; 20,4
"021 Årpenge "; 14,9; 18,8; 20,4; 20,4; 20,4; 20,4
"0211 Årpenge "; 14,9; 18,8; 20,4; 20,4; 20,4; 20,4
"021101 Årpenge "; 14,9; 18,8; 20,4; 20,4; 20,4; 20,4
"02110110 Almindelig virksomhed "; 14,9; 18,8; 20,4; 20,4; 20,4; 20,4
"03 Folketinget "; 789,4; 806,6; 848,1; 819,6; 816,1; 816,1
"031 Udgifter ved Folketinget "; 582,3; 589,6; 622,3; 595,1; 592,1; 592,1
"0311 Folketinget "; 582,3; 589,6; 622,3; 595,1; 592,1; 592,1
"031101 Administration "; 279,2; 269,6; 286,4; 273,4; 273,4; 273,4
"03110110 Almindelig virksomhed "; 248,3; 249,0; 267,4; 254,4; 254,4; 254,4
"03110120 Projekter "; 30,9; 20,6; 19,0; 19,0; 19,0; 19,0
"031102 Folketingets adm. pensionsud.og overførs.indt "; 14,6; 14,5; 14,5; 13,4; 13,4; 13,4
"03110210 Almindelig virksomhed "; 14,6; 14,5; 14,5; 13,4; 13,4; 13,4
"031103 Det parlamentariske arbejde "; 256,7; 272,7; 283,8; 274,7; 271,7; 271,7
"03110310 Folketingsvederlag og boliggodtgørelse "; 110,2; 113,2; 128,8; 117,7; 114,7; 114,7
"03110320 Befordringsudgifter "; 11,9; 12,8; 13,0; 13,0; 13,0; 13,0
"03110330 Folketingsgruppestøtte "; 100,0; 103,5; 101,0; 102,0; 102,0; 102,0
"03110340 Udvalgsarbejde m.v. "; 23,4; 28,7; 26,9; 27,8; 27,8; 27,8
"03110350 Interparlamentariske forsamlinger "; 11,2; 14,5; 14,1; 14,2; 14,2; 14,2
"031104 Folketingspensioner "; 31,7; 32,8; 37,6; 33,6; 33,6; 33,6
"03110410 Almindelig virksomhed "; 31,7; 32,8; 37,6; 33,6; 33,6; 33,6
"032 Folketingets Ombudsmand "; 40,9; 43,8; 45,1; 45,1; 45,1; 45,1
"0321 Folketingets Ombudsmand "; 40,9; 43,8; 45,1; 45,1; 45,1; 45,1
"032101 Folketingets Ombudsmand "; 40,1; 43,0; 44,3; 44,3; 44,3; 44,3
"03210110 Almindelig virksomhed "; 40,1; 43,0; 44,3; 44,3; 44,3; 44,3
"032102 Folketingets Ombudsmands pens.udg. og ovf.ind "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"03210210 Almindelig virksomhed "; 0,7; 0,8; 0,8; 0,8; 0,8; 0,8
"033 Statsrevisoratet og Rigsrevisionen "; 166,3; 173,2; 180,7; 179,4; 178,9; 178,9
"0331 Statsrevisoratet og Rigsrevisionen "; 166,3; 173,2; 180,7; 179,4; 178,9; 178,9
"033101 Statsrevisoratet "; 5,7; 5,8; 5,8; 5,8; 5,8; 5,8
"03310110 Almindelig virksomhed "; 5,7; 5,8; 5,8; 5,8; 5,8; 5,8
"033111 Rigsrevisionen "; 155,4; 162,9; 168,9; 168,3; 167,8; 167,8
"03311110 Almindelig virksomhed "; 155,4; 162,9; 168,9; 168,3; 167,8; 167,8
"033112 Rigsrevisionens pensionsudg. og overførind "; 5,2; 4,5; 6,0; 5,3; 5,3; 5,3
"03311210 Almindelig virksomhed "; 5,2; 4,5; 6,0; 5,3; 5,3; 5,3
"05 Statsministeriet "; 116,1; 123,7; 114,0; 117,3; 116,9; 115,1
"051 Fællesudgifter "; 116,1; 123,7; 114,0; 117,3; 116,9; 115,1
"0511 Centralstyrelsen "; 99,8; 101,0; 97,0; 100,5; 100,1; 98,3
"051101 Departementet "; 67,5; 73,4; 84,2; 74,6; 74,6; 72,8
"05110110 Almindelig virksomhed "; 66,7; 72,6; 83,4; 73,8; 73,8; 72,0
"05110130 Avisårbogen "; 0,3; 0,3; 0,3; 0,3; 0,3; 0,3
"05110140 Nordatlantens Brygge "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"051103 Vederlag og repræsentationstillæg t. ministre "; 18,5; 13,8; 12,8; 12,1; 11,7; 11,7
"05110310 Almindelig virksomhed "; 18,5; 13,8; 12,8; 12,1; 11,7; 11,7
"051111 Dagbladsnævnet "; 13,8; 13,8; 0,0; 13,8; 13,8; 13,8
"05111110 Dagbladsnævnet "; 13,8; 13,8; 0,0; 13,8; 13,8; 13,8
"0512 Grønland og Færøerne "; 16,3; 22,7; 17,0; 16,8; 16,8; 16,8
"051203 Rigsombudsmanden i Grønland "; 9,2; 9,6; 9,2; 9,1; 9,1; 9,1
"05120310 Almindelig virksomhed "; 9,2; 9,6; 9,2; 9,1; 9,1; 9,1
"051251 Rigsombudsmanden på Færøerne "; 7,1; 13,1; 7,8; 7,7; 7,7; 7,7
"05125110 Almindelig virksomhed "; 7,1; 13,1; 7,8; 7,7; 7,7; 7,7
"06 Udenrigsministeriet "; 12765,0; 13297,1; 14308,4; 13465,0; 13435,7; 13423,8
"061 Udenrigstjenesten m.v. "; 1970,2; 2091,2; 2222,7; 2079,3; 2073,2; 2063,5
"0611 Udenrigstjenesten "; 1970,2; 2091,2; 2222,7; 2079,3; 2073,2; 2063,5
"061101 Udenrigstjenesten "; 1604,2; 1621,4; 1742,6; 1601,8; 1595,7; 1586,8
"06110110 Generel udenrigspolitik "; 538,9; 513,3; 574,5; 531,1; 527,9; 526,2
