"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2017";"2018";"2019";"2020";"2021";"2022" 
"01 Dronningen "; 80,2; 84,6; 85,9; 85,9; 85,9; 85,9
"011 Statsydelse "; 80,2; 84,6; 85,9; 85,9; 85,9; 85,9
"0111 Statsydelse "; 80,2; 84,6; 85,9; 85,9; 85,9; 85,9
"011101 Statsydelse "; 80,2; 84,6; 85,9; 85,9; 85,9; 85,9
"01110110 Almindelig virksomhed "; 80,2; 84,6; 85,9; 85,9; 85,9; 85,9
"02 Medlemmer af det kongelige hus m.fl. "; 27,3; 28,8; 29,2; 29,2; 29,2; 29,2
"021 Årpenge mv. "; 27,3; 28,8; 29,2; 29,2; 29,2; 29,2
"0211 Årpenge mv. "; 27,3; 28,8; 29,2; 29,2; 29,2; 29,2
"021101 Årpenge mv. "; 27,3; 28,8; 29,2; 29,2; 29,2; 29,2
"02110110 Almindelig virksomhed "; 27,3; 28,8; 29,2; 29,2; 29,2; 29,2
"03 Folketinget "; 1142,3; 1170,9; 1235,0; 1181,0; 1180,3; 1180,6
"031 Udgifter ved Folketinget "; 747,3; 757,3; 817,9; 765,0; 764,7; 765,0
"0311 Folketinget "; 747,3; 757,3; 817,9; 765,0; 764,7; 765,0
"031101 Folketinget "; 411,9; 421,7; 433,3; 426,0; 425,7; 426,0
"03110110 Almindelig virksomhed "; 387,3; 388,3; 416,6; 392,8; 392,5; 392,8
"03110130 Udvalgsarbejde "; 10,9; 16,8; 0,9; 16,4; 16,4; 16,4
"03110140 Interparlamentariske forsamlinger "; 13,7; 16,6; 15,8; 16,8; 16,8; 16,8
"031103 Folketingets medlemmer "; 332,5; 331,7; 374,9; 335,1; 335,1; 335,1
"03110310 Folketingsvederlag og boliggodtgørelse "; 143,6; 136,1; 159,9; 137,4; 137,4; 137,4
"03110320 Befordringsudgifter "; 9,4; 11,7; 9,8; 10,1; 10,1; 10,1
"03110330 Folketingsgruppestøtte "; 179,6; 183,9; 205,2; 187,6; 187,6; 187,6
"031104 Fhv folketingsmedlemmers efterudd "; 0,8; 0,0; 5,8; 0,0; 0,0; 0,0
"03110410 Efteruddannelse "; 0,8; 0,0; 5,8; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 2,0; 3,9; 3,9; 3,9; 3,9; 3,9
"03110610 Drift af medlemsboliger "; 2,0; 3,9; 3,9; 3,9; 3,9; 3,9
"032 Folketingets Ombudsmand "; 82,4; 87,4; 89,5; 86,3; 85,9; 85,9
"0321 Folketingets Ombudsmand "; 82,4; 87,4; 89,5; 86,3; 85,9; 85,9
"032101 Folketingets Ombudsmand "; 82,4; 87,4; 89,5; 86,3; 85,9; 85,9
"03210110 Almindelig virksomhed "; 80,5; 84,7; 88,1; 85,4; 85,0; 85,0
"03210197 Anden tilskudsfinansieret virksomhed "; 1,9; 2,7; 1,4; 0,9; 0,9; 0,9
"033 Statsrevisorerne og Rigsrevisionen "; 224,4; 233,9; 236,1; 236,0; 236,0; 236,0
"0331 Statsrevisorerne og Rigsrevisionen "; 224,4; 233,9; 236,1; 236,0; 236,0; 236,0
"033101 Statsrevisorerne "; 5,2; 5,4; 5,5; 5,4; 5,4; 5,4
"03310110 Almindelig virksomhed "; 5,2; 5,4; 5,5; 5,4; 5,4; 5,4
"033111 Rigsrevisionen "; 219,3; 228,5; 230,6; 230,6; 230,6; 230,6
"03311110 Almindelig virksomhed "; 214,4; 223,5; 225,6; 225,6; 225,6; 225,6
"03311190 Indtægtsdækket virksomhed "; 4,9; 5,0; 5,0; 5,0; 5,0; 5,0
"034 Folketingets pensioner "; 88,2; 92,3; 91,5; 93,7; 93,7; 93,7
"0341 Folketingets pensioner "; 88,2; 92,3; 91,5; 93,7; 93,7; 93,7
"034101 Folketingets pensioner "; 88,2; 92,3; 91,5; 93,7; 93,7; 93,7
"03410110 Folketingets medlemspensioner "; 57,1; 60,2; 57,8; 60,8; 60,8; 60,8
"03410130 Folketingets Administrations pensioner "; 19,2; 19,8; 19,6; 20,4; 20,4; 20,4
"03410140 Folketingets Ombudsmands pensioner "; 1,9; 2,2; 2,3; 2,3; 2,3; 2,3
"03410150 Statsrevisorernes pensioner "; 1,2; 1,3; 1,5; 1,3; 1,3; 1,3
"03410160 Rigsrevisionens pensioner "; 8,8; 8,8; 10,3; 8,9; 8,9; 8,9
"05 Statsministeriet "; 112,7; 117,0; 114,2; 113,5; 112,8; 112,1
"051 Fællesudgifter "; 112,7; 117,0; 114,2; 113,5; 112,8; 112,1
"0511 Centralstyrelsen "; 92,0; 95,9; 96,3; 95,8; 95,3; 94,8
"051101 Departementet "; 92,0; 95,9; 96,3; 95,8; 95,3; 94,8
"05110110 Almindelig virksomhed "; 91,5; 95,4; 95,8; 95,3; 94,8; 94,3
"05110120 Tilskud "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"0512 Grønland og Færøerne "; 20,7; 21,1; 17,9; 17,7; 17,5; 17,3
"051203 Rigsombudsmanden i Grønland "; 10,1; 10,4; 11,2; 11,1; 11,0; 10,9
"05120310 Almindelig virksomhed "; 10,1; 10,4; 11,2; 11,1; 11,0; 10,9
"051251 Rigsombudsmanden på Færøerne "; 10,6; 10,7; 6,7; 6,6; 6,5; 6,4
"05125110 Almindelig virksomhed "; 10,6; 10,7; 6,7; 6,6; 6,5; 6,4
"06 Udenrigsministeriet "; 15620,4; 16501,3; 16824,7; 17198,6; 17236,5; 17297,2
"061 Udenrigstjenesten mv. "; 2422,9; 2218,2; 2184,0; 2140,7; 2089,9; 2018,7
"0611 Udenrigstjenesten mv. "; 2422,9; 2218,2; 2184,0; 2140,7; 2089,9; 2018,7
"061101 Udenrigstjenesten "; 2132,4; 2098,4; 2083,5; 2028,8; 1980,7; 1920,9
"06110110 Generel udenrigspolitik "; 623,7; 619,7; 684,4; 642,6; 616,0; 594,3
"06110120 Udviklingssamarbejde "; 735,8; 730,0; 726,6; 726,6; 726,6; 726,6
"06110130 Eksport- og investeringsfremme mv. "; 360,7; 397,4; 415,9; 398,9; 390,9; 361,8
"06110140 Borgerservice "; 270,3; 210,4; 222,3; 214,9; 205,6; 201,9
"06110150 Ligestillingspolitik "; 12,0; 17,3; 0,0; 15,0; 14,2; 9,9
"06110160 Fiskeripolitik "; 0,0; 30,3; 0,0; 27,5; 27,4; 26,4
"06110190 Kompetencecenter "; 9,1; 8,0; 0,0; 0,0; 0,0; 0,0
"06110197 Andre tilskudsfinansierede aktiviteter "; 120,9; 85,3; 34,3; 3,3; 0,0; 0,0
"061111 IMR "; 154,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06111110 Almindelig virksomhed "; 52,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06111190 Indtægtsdækket virksomhed "; 14,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06111195 Tilskudsfinansieret virksomhed "; 1,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06111197 Andre tilskudsfinansierede aktiviteter "; 86,0; 0,0; 0,0; 0,0; 0,0; 0,0
"061112 Dansk Institut for Internationale Studier "; 77,7; 0,0; 0,0; 0,0; 0,0; 0,0
"06111210 Almindelig virksomhed "; 54,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06111290 Indtægtsdækket virksomhed "; 2,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06111295 Tilskudsfinansieret virksomhed "; 18,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06111297 Anden tilskudsfinansieret virksomhed "; 2,3; 0,0; 0,0; 0,0; 0,0; 0,0
"061113 Institut for Menneskerettigheder "; 0,0; 38,9; 38,5; 37,8; 37,1; 36,4
"06111310 Institut for Menneskerettigheder "; 0,0; 38,9; 38,5; 37,8; 37,1; 36,4
"061114 Dansk Institut for Internationale Studier "; 0,0; 25,0; 28,4; 24,3; 23,8; 23,3
"06111410 Dansk Institut for Internationale Studier "; 0,0; 25,0; 28,4; 24,3; 23,8; 23,3
"061115 Ikke-lovbundne tilskud "; 45,3; 37,4; 33,6; 31,1; 31,1; 31,2
"06111510 Tilskud til oplysningsarbejde mv. "; 4,7; 4,7; 6,2; 4,7; 4,7; 4,7
"06111520 Tilskud til internationale institutioner "; 10,6; 15,9; 14,1; 13,1; 13,1; 13,2
"06111530 Int. presseindsatser "; 2,0; 2,0; 2,1; 2,1; 2,1; 2,1
"06111540 Freds- og Stabiliseringsfonden "; 22,3; 11,1; 11,2; 11,2; 11,2; 11,2
"06111550 Udredning indsats i Kosovo, Afghanistan mv. "; 5,6; 3,7; 0,0; 0,0; 0,0; 0,0
"061116 Fremme af kønsligestilling "; 16,7; 18,5; 0,0; 18,7; 17,2; 6,9
"06111610 Indsats mod vold mod kvinder "; 5,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06111611 Handlingspl. mod vold i nære relationer 19-22"; 0,0; 0,0; 0,0; 0,0; 0,2; 0,8
"06111620 Initiativer til bekæmpelse af menneskehandel "; 3,0; 3,2; 0,0; 3,2; 3,2; 3,2
"06111622 Styrket indsats mod menneskehandel "; 5,3; 3,1; 0,0; 0,2; 0,0; 0,0
"06111623 Bekæmpelse af menneskehandel "; 0,0; 0,0; 0,0; 7,4; 7,4; 0,1
"06111626 Kampagne og undersøgelse om ligestilling, soc"; 1,2; 3,1; 0,0; 2,3; 0,0; 0,0
"06111630 Fremme af fædres brug af orlov "; 1,4; 1,1; 0,0; 1,0; 0,0; 0,0
"06111631 Fremme tryghed trivsel LGBTI-personer "; 0,0; 8,0; 0,0; 0,4; 2,2; 0,1
"06111632 Tilskud til Kvinderådet "; 0,0; 0,0; 0,0; 1,2; 1,2; 1,2
"06111633 Driftstilskud til LGBT Danmark "; 0,0; 0,0; 0,0; 1,5; 1,5; 1,5
"06111634 Tilskud til Copenhagen 2021 "; 0,0; 0,0; 0,0; 1,5; 1,5; 0,0
"061119 Bilateralt naboskabsprogram "; -4,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06111930 Naboskabsindsatser i DAC-lande "; -4,1; 0,0; 0,0; 0,0; 0,0; 0,0
"061136 Investeringsfonden for Østlandene "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06113610 Investeringsfonden for Østlandene "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"062 Internationale organisationer "; 615,7; 631,0; 648,8; 650,8; 651,8; 801,2
"0621 Nordiske formål "; 105,1; 118,2; 129,8; 129,8; 129,8; 129,8
"062101 Nordisk Ministerråd "; 105,1; 118,2; 129,8; 129,8; 129,8; 129,8
"06210110 Nordisk Ministerråd "; 105,1; 118,2; 129,8; 129,8; 129,8; 129,8
"0622 Øvrige internationale organisationer "; 510,5; 512,8; 519,0; 521,0; 522,0; 671,4
"062201 Fredsbevarende operationer "; 261,4; 244,7; 247,1; 247,1; 247,1; 247,1
"06220110 FN's fredsbevarende operationer "; 261,4; 244,7; 247,1; 247,1; 247,1; 247,1
"062203 Øvrige organisationer "; 249,1; 267,6; 271,4; 273,4; 274,4; 273,8
"06220310 Øvrige organisationer "; 249,1; 267,6; 271,4; 273,4; 274,4; 273,8
"062205 Den Europæiske Investeringsbank "; 0,0; 0,5; 0,5; 0,5; 0,5; 0,5
"06220510 Den Europæiske Investeringsbank "; 0,0; 0,5; 0,5; 0,5; 0,5; 0,5
"062206 UN Live Museum "; 0,0; 0,0; 0,0; 0,0; 0,0; 150,0
"06220610 UN Live Museum "; 0,0; 0,0; 0,0; 0,0; 0,0; 150,0
"063 Bistand til udviklingslandene "; 11941,5; 12941,2; 13919,1; 13692,0; 13765,4; 13797,9
"0631 Reserver "; 0,0; 289,8; -15,3; 15,8; 35,0; 38,6
"063179 Reserver og budgetreguleringer "; 0,0; 289,8; -15,3; 15,8; 35,0; 38,6
"06317910 Reserve "; 0,0; 289,8; 0,0; 100,0; 100,0; 100,0
"06317920 Budgetregulering "; 0,0; 0,0; 0,0; -84,2; -65,0; -61,4
"06317930 Valutakursreguleringer "; 0,0; 0,0; -15,3; 0,0; 0,0; 0,0
"0632 Bilateral bistand "; 3647,3; 4036,9; 3675,0; 3917,4; 4183,3; 4283,5
"063201 Udviklingslande i Afrika "; 1264,4; 1713,2; 2140,0; 1880,9; 1733,4; 2063,7
"06320105 Etiopien "; 139,1; 255,0; 323,5; 225,0; 215,0; 5,0
"06320106 Niger "; 194,9; 85,0; 100,0; 0,0; 0,0; 500,0
"06320107 Zimbabwe "; -10,3; 0,0; 0,0; 0,0; 0,0; 0,0
"06320108 Somalia "; 98,7; 0,0; 580,0; 150,0; 150,0; 0,0
"06320109 Sydsudan "; -33,8; 0,0; 0,0; 0,0; 0,0; 0,0
"06320110 Tanzania "; 1,4; 5,0; 5,0; 650,0; 350,0; 250,0
"06320111 Kenya "; 95,9; 0,0; 0,0; 500,0; 350,0; 0,0
"06320112 Uganda "; 145,6; 225,0; 525,0; 0,0; 0,0; 0,0
"06320113 Mozambique "; -72,7; 0,0; 0,0; 0,0; 0,0; 0,0
"06320115 Ghana "; 66,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06320116 Benin "; -50,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06320117 Burkina Faso "; 342,5; 300,0; 0,0; 0,0; 550,0; 500,0
"06320118 Zambia "; -40,4; 0,0; 0,0; 0,0; 0,0; 0,0
"06320120 Mali "; 370,5; 509,5; 235,0; 5,0; 5,0; 600,0
"06320123 Øvrige indsatser i Afrika "; 33,1; 333,7; 371,5; 350,9; 113,4; 208,7
"06320125 Særlige bilaterale kvinde-indsatser i Afrika "; -2,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06320126 AK "; -13,1; 0,0; 0,0; 0,0; 0,0; 0,0
"063202 Udv.lande i Asien, Mellemøsten og Latinamerik "; 1201,6; 490,0; -21,6; 450,0; 895,0; 635,0
"06320204 Pakistan "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"06320205 Myanmar "; 202,8; 5,0; 5,0; 5,0; 270,0; 200,0
"06320208 Palæstina "; 249,8; 0,0; 0,0; 0,0; 200,0; 245,0
"06320209 Afghanistan "; 20,7; 330,0; -10,3; 240,0; 200,0; 0,0
"06320210 Indsatser i Syrien og nabolande "; 0,0; 0,0; 200,0; 200,0; 0,0; 0,0
"06320211 Bangladesh "; 167,7; 5,0; -16,3; 5,0; 225,0; 190,0
"06320212 Nepal "; -9,2; 0,0; -200,0; 0,0; 0,0; 0,0
"06320213 Bhutan "; -0,1; 0,0; 0,0; 0,0; 0,0; 0,0
"06320214 Vietnam "; -0,9; 0,0; 0,0; 0,0; 0,0; 0,0
"06320215 Øvrige indsatser i Asien og Mellemøsten "; 587,1; 150,0; 0,0; 0,0; 0,0; 0,0
"06320217 Bolivia "; -11,2; 0,0; 0,0; 0,0; 0,0; 0,0
"06320218 Øvrige indsatser i Latinamerika "; -5,1; 0,0; 0,0; 0,0; 0,0; 0,0
"063204 Personelbistand "; 232,4; 276,9; 241,0; 262,9; 262,9; 261,9
"06320410 Rådgiverbistand "; 1,3; 20,0; 6,0; 4,0; 4,0; 3,0
"06320412 Firmarådgivere "; 17,4; 40,0; 16,1; 40,0; 40,0; 40,0
