"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2020";"2021";"2022";"2023";"2024";"2025" 
"01 Dronningen "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"011 Statsydelse "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"0111 Statsydelse "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"011101 Statsydelse "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"01110110 Almindelig virksomhed "; 85,9; 89,3; 87,8; 87,8; 87,8; 87,8
"02 Medlemmer af det kongelige hus m.fl. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"021 Årpenge mv. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"0211 Årpenge mv. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"021101 Årpenge mv. "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"02110110 Almindelig virksomhed "; 28,2; 27,8; 27,3; 29,9; 29,9; 29,9
"03 Folketinget "; 1223,6; 1237,3; 1266,2; 1244,2; 1244,2; 1244,2
"031 Udgifter ved Folketinget "; 823,6; 814,4; 842,2; 820,2; 820,2; 820,2
"0311 Folketinget "; 823,6; 814,4; 842,2; 820,2; 820,2; 820,2
"031101 Folketinget "; 422,2; 443,8; 480,0; 458,0; 458,0; 458,0
"03110110 Almindelig virksomhed "; 407,3; 408,3; 448,3; 420,8; 426,3; 426,3
"03110130 Udvalgsarbejde "; 4,8; 16,6; 14,7; 14,7; 14,7; 14,7
"03110140 Interparlamentariske forsamlinger "; 10,1; 18,9; 17,0; 22,5; 17,0; 17,0
"031103 Folketingets medlemmer "; 397,7; 366,7; 358,3; 358,3; 358,3; 358,3
"03110310 Folketingsvederlag og boliggodtgørelse "; 174,5; 156,5; 147,7; 147,7; 147,7; 147,7
"03110320 Befordringsudgifter "; 7,8; 10,2; 9,8; 9,8; 9,8; 9,8
"03110330 Folketingsgruppestøtte "; 215,3; 200,0; 200,8; 200,8; 200,8; 200,8
"031104 Fhv folketingsmedlemmers efterudd "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"03110410 Efteruddannelse "; 1,0; 0,0; 0,0; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 2,7; 3,9; 3,9; 3,9; 3,9; 3,9
"03110610 Drift af medlemsboliger "; 2,7; 3,9; 3,9; 3,9; 3,9; 3,9
"032 Folketingets Ombudsmand "; 92,0; 94,3; 95,3; 95,3; 95,3; 95,3
"0321 Folketingets Ombudsmand "; 92,0; 94,3; 95,3; 95,3; 95,3; 95,3
"032101 Folketingets Ombudsmand "; 92,0; 94,3; 95,3; 95,3; 95,3; 95,3
"03210110 Almindelig virksomhed "; 91,4; 93,4; 94,4; 94,4; 94,4; 94,4
"03210197 Andre tilskudsfinansierede aktiviteter "; 0,6; 0,9; 0,9; 0,9; 0,9; 0,9
"033 Statsrevisorerne og Rigsrevisionen "; 215,1; 233,9; 233,2; 233,2; 233,2; 233,2
"0331 Statsrevisorerne og Rigsrevisionen "; 215,1; 233,9; 233,2; 233,2; 233,2; 233,2
"033101 Statsrevisorerne "; 5,1; 5,5; 5,5; 5,5; 5,5; 5,5
"03310110 Almindelig virksomhed "; 5,1; 5,5; 5,5; 5,5; 5,5; 5,5
"033111 Rigsrevisionen "; 210,1; 228,4; 227,7; 227,7; 227,7; 227,7
"03311110 Almindelig virksomhed "; 210,1; 228,4; 227,7; 227,7; 227,7; 227,7
"034 Folketingets pensioner "; 92,9; 94,7; 95,5; 95,5; 95,5; 95,5
"0341 Folketingets pensioner "; 92,9; 94,7; 95,5; 95,5; 95,5; 95,5
"034101 Folketingets pensioner "; 92,9; 94,7; 95,5; 95,5; 95,5; 95,5
"03410110 Folketingets medlemspensioner "; 58,7; 60,2; 60,7; 60,7; 60,7; 60,7
"03410130 Folketingets Administrations pensioner "; 20,2; 20,6; 20,6; 20,6; 20,6; 20,6
"03410140 Folketingets Ombudsmands pensioner "; 2,3; 2,3; 2,3; 2,3; 2,3; 2,3
"03410150 Statsrevisorernes pensioner "; 1,3; 1,5; 1,4; 1,4; 1,4; 1,4
"03410160 Rigsrevisionens pensioner "; 10,5; 10,1; 10,5; 10,5; 10,5; 10,5
"05 Statsministeriet "; 120,0; 147,2; 147,2; 146,6; 145,9; 145,2
"051 Fællesudgifter "; 120,0; 147,2; 147,2; 146,6; 145,9; 145,2
"0511 Centralstyrelsen "; 102,8; 126,0; 126,0; 125,6; 125,1; 124,6
"051101 Departementet "; 102,8; 126,0; 126,0; 125,6; 125,1; 124,6
"05110110 Almindelig virksomhed "; 102,3; 125,5; 126,0; 125,6; 125,1; 124,6
"05110120 Tilskud "; 0,5; 0,5; 0,0; 0,0; 0,0; 0,0
"0512 Grønland og Færøerne "; 17,2; 21,2; 21,2; 21,0; 20,8; 20,6
"051203 Rigsombudsmanden i Grønland "; 10,2; 12,4; 12,4; 12,3; 12,2; 12,1
"05120310 Almindelig virksomhed "; 10,2; 12,4; 12,4; 12,3; 12,2; 12,1
"051251 Rigsombudsmanden på Færøerne "; 7,1; 8,8; 8,8; 8,7; 8,6; 8,5
"05125110 Almindelig virksomhed "; 7,1; 8,8; 8,8; 8,7; 8,6; 8,5
"06 Udenrigsministeriet "; 17801,0; 17958,9; 18155,3; 18132,1; 17440,6; 17533,7
"061 Udenrigstjenesten mv. "; 2579,9; 2722,4; 2885,7; 2763,9; 2502,5; 2426,1
"0611 Udenrigstjenesten mv. "; 2579,9; 2722,4; 2885,7; 2763,9; 2502,5; 2426,1
"061101 Udenrigstjenesten "; 2474,9; 2571,9; 2701,3; 2559,1; 2285,5; 2207,5
"06110110 Generel udenrigspolitik "; 768,9; 711,0; 0,0; 0,0; 0,0; 0,0
"06110111 Almindelig virksomhed "; 0,0; 0,0; 960,1; 940,4; 833,7; 809,0
"06110112 Repræsentationer i Europa "; 0,0; 0,0; 522,4; 531,8; 485,6; 481,7
"06110113 Rep. i Nordamerika og Latinamerika "; 0,0; 0,0; 253,4; 247,9; 208,5; 207,0
"06110114 Repræsentationer i Afrika "; 0,0; 0,0; 265,4; 280,3; 271,4; 273,2
"06110115 Repræsentationer i Asien og Oceanien "; 0,0; 0,0; 537,7; 526,7; 453,8; 432,6
"06110120 Udviklingssamarbejde "; 800,7; 850,9; 0,0; 0,0; 0,0; 0,0
"06110130 Eksport- og investeringsfremme mv. "; 533,9; 508,5; 0,0; 0,0; 0,0; 0,0
"06110140 Borgerservice "; 265,4; 256,4; 0,0; 0,0; 0,0; 0,0
"06110197 Andre tilskudsfinansierede aktiviteter "; 106,0; 245,1; 162,3; 32,0; 32,5; 4,0
"061113 Institut for Menneskerettigheder "; 39,0; 42,3; 42,7; 42,8; 42,0; 38,3
"06111310 Institut for Menneskerettigheder "; 39,0; 42,3; 42,7; 42,8; 42,0; 38,3
"061114 Dansk Institut for Internationale Studier "; 24,9; 25,3; 25,5; 25,5; 23,7; 23,3
"06111410 Dansk Institut for Internationale Studier "; 24,9; 25,3; 25,5; 25,5; 23,7; 23,3
"061115 Ikke-lovbundne tilskud "; 25,1; 32,9; 30,8; 18,7; 18,7; 18,7
"06111510 Tilskud til oplysningsarbejde mv. "; 6,2; 5,3; 5,3; 4,7; 4,7; 4,7
