"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2019";"2020";"2021";"2022";"2023";"2024" 
"01 Dronningen "; 83,8; 87,6; 89,3; 89,3; 89,3; 89,3
"011 Statsydelse "; 83,8; 87,6; 89,3; 89,3; 89,3; 89,3
"0111 Statsydelse "; 83,8; 87,6; 89,3; 89,3; 89,3; 89,3
"011101 Statsydelse "; 83,8; 87,6; 89,3; 89,3; 89,3; 89,3
"01110110 Almindelig virksomhed "; 83,8; 87,6; 89,3; 89,3; 89,3; 89,3
"02 Medlemmer af det kongelige hus m.fl. "; 28,5; 29,8; 27,8; 30,4; 30,4; 30,4
"021 Årpenge mv. "; 28,5; 29,8; 27,8; 30,4; 30,4; 30,4
"0211 Årpenge mv. "; 28,5; 29,8; 27,8; 30,4; 30,4; 30,4
"021101 Årpenge mv. "; 28,5; 29,8; 27,8; 30,4; 30,4; 30,4
"02110110 Almindelig virksomhed "; 28,5; 29,8; 27,8; 30,4; 30,4; 30,4
"03 Folketinget "; 1227,4; 1200,9; 1285,6; 1220,9; 1220,9; 1220,9
"031 Udgifter ved Folketinget "; 814,0; 776,7; 869,4; 798,0; 798,0; 798,0
"0311 Folketinget "; 814,0; 776,7; 869,4; 798,0; 798,0; 798,0
"031101 Folketinget "; 434,6; 431,8; 498,8; 442,6; 442,6; 442,6
"03110110 Almindelig virksomhed "; 416,7; 398,3; 479,8; 409,0; 409,0; 409,0
"03110130 Udvalgsarbejde "; 5,3; 16,5; 4,0; 16,6; 16,6; 16,6
"03110140 Interparlamentariske forsamlinger "; 12,6; 17,0; 15,0; 17,0; 17,0; 17,0
"031103 Folketingets medlemmer "; 375,0; 341,0; 369,9; 351,5; 351,5; 351,5
"03110310 Folketingsvederlag og boliggodtgørelse "; 160,3; 139,4; 160,9; 141,3; 141,3; 141,3
"03110320 Befordringsudgifter "; 9,3; 10,2; 9,7; 10,2; 10,2; 10,2
"03110330 Folketingsgruppestøtte "; 205,4; 191,4; 199,3; 200,0; 200,0; 200,0
"031104 Fhv folketingsmedlemmers efterudd "; 0,5; 0,0; -3,2; 0,0; 0,0; 0,0
"03110410 Efteruddannelse "; 0,5; 0,0; -3,2; 0,0; 0,0; 0,0
"031106 Medlemsboliger "; 3,9; 3,9; 3,9; 3,9; 3,9; 3,9
"03110610 Drift af medlemsboliger "; 3,9; 3,9; 3,9; 3,9; 3,9; 3,9
"032 Folketingets Ombudsmand "; 92,0; 95,7; 94,3; 94,3; 94,3; 94,3
"0321 Folketingets Ombudsmand "; 92,0; 95,7; 94,3; 94,3; 94,3; 94,3
"032101 Folketingets Ombudsmand "; 92,0; 95,7; 94,3; 94,3; 94,3; 94,3
"03210110 Almindelig virksomhed "; 90,3; 92,7; 93,4; 93,4; 93,4; 93,4
"03210197 Andre tilskudsfinansierede aktiviteter "; 1,7; 3,0; 0,9; 0,9; 0,9; 0,9
"033 Statsrevisorerne og Rigsrevisionen "; 230,2; 232,9; 226,4; 233,9; 233,9; 233,9
"0331 Statsrevisorerne og Rigsrevisionen "; 230,2; 232,9; 226,4; 233,9; 233,9; 233,9
"033101 Statsrevisorerne "; 5,4; 5,5; 5,5; 5,5; 5,5; 5,5
"03310110 Almindelig virksomhed "; 5,4; 5,5; 5,5; 5,5; 5,5; 5,5
"033111 Rigsrevisionen "; 224,8; 227,4; 220,9; 228,4; 228,4; 228,4
"03311110 Almindelig virksomhed "; 222,7; 227,4; 220,9; 228,4; 228,4; 228,4
"03311190 Indtægtsdækket virksomhed "; 2,1; 0,0; 0,0; 0,0; 0,0; 0,0
"034 Folketingets pensioner "; 91,1; 95,6; 95,5; 94,7; 94,7; 94,7
"0341 Folketingets pensioner "; 91,1; 95,6; 95,5; 94,7; 94,7; 94,7
"034101 Folketingets pensioner "; 91,1; 95,6; 95,5; 94,7; 94,7; 94,7
"03410110 Folketingets medlemspensioner "; 57,6; 61,3; 60,4; 60,2; 60,2; 60,2
"03410130 Folketingets Administrations pensioner "; 19,7; 21,1; 20,6; 20,6; 20,6; 20,6
"03410140 Folketingets Ombudsmands pensioner "; 2,3; 2,3; 2,5; 2,3; 2,3; 2,3
"03410150 Statsrevisorernes pensioner "; 1,2; 1,3; 1,5; 1,5; 1,5; 1,5
"03410160 Rigsrevisionens pensioner "; 10,3; 9,6; 10,5; 10,1; 10,1; 10,1
"05 Statsministeriet "; 115,5; 124,6; 146,9; 146,5; 145,8; 145,1
"051 Fællesudgifter "; 115,5; 124,6; 146,9; 146,5; 145,8; 145,1
"0511 Centralstyrelsen "; 98,9; 107,4; 125,1; 125,5; 125,0; 124,5
"051101 Departementet "; 98,9; 107,4; 125,1; 125,5; 125,0; 124,5
"05110110 Almindelig virksomhed "; 98,4; 106,9; 124,6; 125,0; 124,5; 124,0
"05110120 Tilskud "; 0,5; 0,5; 0,5; 0,5; 0,5; 0,5
"0512 Grønland og Færøerne "; 16,7; 17,2; 21,8; 21,0; 20,8; 20,6
"051203 Rigsombudsmanden i Grønland "; 10,0; 10,3; 12,4; 12,3; 12,2; 12,1
"05120310 Almindelig virksomhed "; 10,0; 10,3; 12,4; 12,3; 12,2; 12,1
"051251 Rigsombudsmanden på Færøerne "; 6,7; 6,9; 9,4; 8,7; 8,6; 8,5
"05125110 Almindelig virksomhed "; 6,7; 6,9; 9,4; 8,7; 8,6; 8,5
"06 Udenrigsministeriet "; 17183,5; 17598,8; 18000,9; 16728,8; 16276,3; 16181,2
"061 Udenrigstjenesten mv. "; 2645,5; 2316,3; 2760,1; 2371,0; 2248,0; 2141,5
"0611 Udenrigstjenesten mv. "; 2645,5; 2316,3; 2760,1; 2371,0; 2248,0; 2141,5
"061101 Udenrigstjenesten "; 2535,8; 2228,2; 2568,0; 2209,6; 2084,3; 1964,6
"06110110 Generel udenrigspolitik "; 964,3; 696,9; 695,2; 612,1; 532,8; 514,1
"06110120 Udviklingssamarbejde "; 728,0; 800,3; 850,9; 850,9; 850,9; 850,9
"06110130 Eksport- og investeringsfremme mv. "; 454,6; 415,5; 520,8; 459,3; 442,9; 345,4
"06110140 Borgerservice "; 258,5; 217,4; 256,0; 241,6; 222,3; 218,3
"06110197 Andre tilskudsfinansierede aktiviteter "; 130,3; 98,1; 245,1; 45,7; 35,4; 35,9
"061113 Institut for Menneskerettigheder "; 48,3; 39,0; 42,3; 40,2; 39,6; 38,8
"06111310 Institut for Menneskerettigheder "; 48,3; 39,0; 42,3; 40,2; 39,6; 38,8
"061114 Dansk Institut for Internationale Studier "; 32,5; 25,1; 25,3; 23,8; 23,4; 21,7
"06111410 Dansk Institut for Internationale Studier "; 32,5; 25,1; 25,3; 23,8; 23,4; 21,7
"061115 Ikke-lovbundne tilskud "; 28,8; 35,3; 33,2; 31,0; 19,1; 19,1
