"Paragraf, Hovedområde, Aktivitetsområde, Hovedkonto, Underkonto";"2013";"2014";"2015";"2016";"2017";"2018" 
"05 Statsministeriet "; -23,3; -31,0; -31,3; -31,3; -31,3; -31,3
"051 Fællesudgifter "; -23,3; -31,0; -31,3; -31,3; -31,3; -31,3
"0511 Centralstyrelsen "; -23,3; -31,0; -31,3; -31,3; -31,3; -31,3
"051103 Vederlag og eftervederlag til ministre "; -23,3; -31,0; -31,3; -31,3; -31,3; -31,3
"05110310 Almindelig virksomhed "; 0,0; -0,1; -0,1; -0,1; -0,1; -0,1
"05110320 Vederlag mv. til ministre "; -14,2; -15,2; -15,3; -15,3; -15,3; -15,3
"05110330 Eftervederlag til tidligere ministre "; -9,1; -15,7; -15,9; -15,9; -15,9; -15,9
"06 Udenrigsministeriet "; 0,0; 0,0; -1592,6; 22,7; 22,7; 22,7
"061 Udenrigstjenesten mv. "; 0,0; 0,0; -0,4; 22,7; 22,7; 22,7
"0611 Udenrigstjenesten mv. "; 0,0; 0,0; -0,4; 22,7; 22,7; 22,7
"061101 Udenrigstjenesten "; 0,0; 0,0; -3,4; 22,7; 22,7; 22,7
"06110110 Generel udenrigspolitik "; 0,0; 0,0; 22,7; 22,7; 22,7; 22,7
"06110120 Administration af udviklingsbistand "; 0,0; 0,0; -26,6; 0,0; 0,0; 0,0
"06110140 Borgerservice "; 0,0; 0,0; 0,5; 0,0; 0,0; 0,0
"061112 Dansk Institut for Internationale Studier "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"06111210 Almindelig virksomhed "; 0,0; 0,0; 3,0; 0,0; 0,0; 0,0
"062 Internationale organisationer "; 0,0; 0,0; 77,6; 0,0; 0,0; 0,0
"0622 Øvrige internationale organisationer "; 0,0; 0,0; 77,6; 0,0; 0,0; 0,0
"062201 Fredsbevarende operationer "; 0,0; 0,0; 77,6; 0,0; 0,0; 0,0
"06220110 De Forenede Nationer "; 0,0; 0,0; 77,6; 0,0; 0,0; 0,0
"063 Bistand til udviklingslandene "; 0,0; 0,0; -1669,8; 0,0; 0,0; 0,0
"0631 Reserver "; 0,0; 0,0; -496,4; 0,0; 0,0; 0,0
"063179 Reserver og budgetreguleringer "; 0,0; 0,0; -496,4; 0,0; 0,0; 0,0
"06317920 Budgetregulering "; 0,0; 0,0; -496,4; 0,0; 0,0; 0,0
"0632 Bilateral bistand "; 0,0; 0,0; -968,4; 0,0; 0,0; 0,0
"063201 Udviklingslande i Afrika "; 0,0; 0,0; -400,0; 0,0; 0,0; 0,0
"06320123 Øvrige indsatser i Afrika "; 0,0; 0,0; -400,0; 0,0; 0,0; 0,0
"063202 Udviklingslande i Asien og Latinamerika "; 0,0; 0,0; -85,0; 0,0; 0,0; 0,0
"06320204 Pakistan "; 0,0; 0,0; -30,0; 0,0; 0,0; 0,0
"06320208 Palæstina "; 0,0; 0,0; 9,0; 0,0; 0,0; 0,0
"06320209 Afghanistan "; 0,0; 0,0; -64,0; 0,0; 0,0; 0,0
"063205 Danidas erhvervsindsatser "; 0,0; 0,0; -128,0; 0,0; 0,0; 0,0
"06320512 Danida Business Partnerships "; 0,0; 0,0; -82,0; 0,0; 0,0; 0,0
"06320518 Danida Business Finance "; 0,0; 0,0; -46,0; 0,0; 0,0; 0,0
"063208 Øvrig bistand "; 0,0; 0,0; -128,4; 0,0; 0,0; 0,0
"06320860 Stabilisering og konfliktforebyggelse "; 0,0; 0,0; -138,4; 0,0; 0,0; 0,0
"06320870 Demokrati og menneskerettigheder "; 0,0; 0,0; 10,0; 0,0; 0,0; 0,0
"063209 Det Arabiske Initiativ "; 0,0; 0,0; -227,0; 0,0; 0,0; 0,0
"06320910 Dansk-arabiske partnerskabsaftaler "; 0,0; 0,0; -134,0; 0,0; 0,0; 0,0
"06320920 Øvrige indsatser "; 0,0; 0,0; -93,0; 0,0; 0,0; 0,0
"0635 Forsknings- og oplysningsvirksomhed "; 0,0; 0,0; -5,0; 0,0; 0,0; 0,0
"063501 Forskning og oplysning i Danmark mv. "; 0,0; 0,0; -5,0; 0,0; 0,0; 0,0
"06350115 Udredningsvirksomhed "; 0,0; 0,0; -5,0; 0,0; 0,0; 0,0
"0636 Multilateral bistand gennem FN mv. "; 0,0; 0,0; -200,0; 0,0; 0,0; 0,0
"063602 De Forenede Nationers Børnefond (UNICEF) "; 0,0; 0,0; -100,0; 0,0; 0,0; 0,0
"06360210 Generelt bidrag til UNICEF "; 0,0; 0,0; -100,0; 0,0; 0,0; 0,0
"063603 HIV/AIDS, Befolknings- og sundhedsprogrammer "; 0,0; 0,0; -100,0; 0,0; 0,0; 0,0
"06360310 FN's Befolkningsfond (UNFPA) "; 0,0; 0,0; -100,0; 0,0; 0,0; 0,0
"07 Finansministeriet "; 23,3; 31,0; -445,6; 40,8; 35,2; 39,7
"071 Offentlig økonomi "; 23,3; 31,0; 54,4; 40,8; 35,2; 39,7
"0712 Digitalisering "; 0,0; 0,0; -11,8; -25,2; -30,7; -26,0
"071201 Digitaliseringsstyrelsen "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07120110 Almindelig virksomhed "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071202 Fællesoffentlige initiativer "; 0,0; 0,0; -11,8; -25,2; -30,7; -26,0
"07120230 Grunddataprogrammmet "; 0,0; 0,0; -11,8; -25,2; -30,7; -26,0
"0713 Administration "; 0,0; 0,0; 29,8; 29,6; 29,5; 29,3
"071305 Fleksjobordning i staten mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07130510 Fleksjobordning i staten mv. "; 0,0; 0,0; 3,5; 2,7; 1,7; 0,8
"07130520 Fleksjob - ansatte efter 1. januar 2013 "; 0,0; 0,0; 1,8; 2,3; 3,2; 3,9
"07130530 Fleksjob - ansatte før 1. jan. 2013 "; 0,0; 0,0; -5,3; -5,0; -4,9; -4,7
"071306 Barselsfonden "; 0,0; 0,0; -5,5; -5,7; -5,8; -6,0
"07130610 Barselsfonden "; 0,0; 0,0; -5,5; -5,7; -5,8; -6,0
"071340 Regulering vedr. Udlodningsloven "; 0,0; 0,0; 35,3; 35,3; 35,3; 35,3
"07134030 Regulering vedr. Udlodningsloven "; 0,0; 0,0; 35,3; 35,3; 35,3; 35,3
"0714 Modernisering af den offentlige sektor "; 23,3; 31,0; 31,3; 31,3; 31,3; 31,3
"071407 Vederlag mv. til ministre "; 23,3; 31,0; 31,3; 31,3; 31,3; 31,3
"07140710 Almindelig virksomhed "; 0,0; 0,1; 0,1; 0,1; 0,1; 0,1
"07140720 Vederlag mv. til ministre "; 14,2; 15,2; 15,3; 15,3; 15,3; 15,3
"07140730 Eftervederlag til tidligere ministre "; 9,1; 15,7; 15,9; 15,9; 15,9; 15,9
"0715 Statslige selskaber "; 0,0; 0,0; 5,1; 5,1; 5,1; 5,1
"071501 Udbytte fra statslige selskaber "; 0,0; 0,0; 10,7; 10,7; 10,7; 10,7
"07150110 Udbytte mv. "; 0,0; 0,0; 10,7; 10,7; 10,7; 10,7
"071505 Indt. fra Danske Spils overskud i Grønland "; 0,0; 0,0; -5,6; -5,6; -5,6; -5,6
"07150510 Indt. fra Danske Spils overskud fra Grønland "; 0,0; 0,0; -5,6; -5,6; -5,6; -5,6
"0718 Udlodningsloven "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071803 Fond til undervisning og folkeoplysning "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180330 Min. f. Børn og Undv. fond til undv. og f.opl"; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071809 Fond til humanitære og almennyttige formål "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180950 De landsdækkende almennyttige organisationer "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07180960 Støtte til andre almennyttige formål mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"071814 Fond til idrætsorganisationer mv. "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181420 Team Danmark "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181430 Danmarks Idrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181440 Danske Gymnastik- og idrætsforeninger "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181450 Dansk Firmaidrætsforbund "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181460 Lokale- og anlægsfonden "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
"07181470 Hestevæddeløbssportens Finansieringsfond "; 0,0; 0,0; 0,0; 0,0; 0,0; 0,0
